frame_index,frame_name,pose_set,anchor_name,x,y,layer,purpose,allowed_offset_range
0,idle_a,Neutral,back_hand,13,31,back_arm,副手或后手握点,"x±1,y±1"
0,idle_a,Neutral,front_hand,27,31,front_arm,主手或前手握点,"x±1,y±1"
0,idle_a,Neutral,head_center,20,11,head,头盔与头发配准,"x±0,y±0"
0,idle_a,Neutral,torso_center,20,24,body,铠甲与配饰配准,"x±0,y±0"
0,idle_a,Neutral,left_foot,15,45,boots,左鞋逐帧配准,"x±0,y±0"
0,idle_a,Neutral,right_foot,23,45,boots,右鞋逐帧配准,"x±0,y±0"
0,idle_a,OneHand_Sword,back_hand,13,31,back_arm,副手或后手握点,"x±1,y±1"
0,idle_a,OneHand_Sword,front_hand,30,26,front_arm,主手或前手握点,"x±1,y±1"
0,idle_a,OneHand_Sword,head_center,20,11,head,头盔与头发配准,"x±0,y±0"
0,idle_a,OneHand_Sword,torso_center,20,24,body,铠甲与配饰配准,"x±0,y±0"
0,idle_a,OneHand_Sword,left_foot,15,45,boots,左鞋逐帧配准,"x±0,y±0"
0,idle_a,OneHand_Sword,right_foot,23,45,boots,右鞋逐帧配准,"x±0,y±0"
0,idle_a,OneHand_Axe,back_hand,13,31,back_arm,副手或后手握点,"x±1,y±1"
0,idle_a,OneHand_Axe,front_hand,31,14,front_arm,主手或前手握点,"x±1,y±1"
0,idle_a,OneHand_Axe,head_center,20,11,head,头盔与头发配准,"x±0,y±0"
0,idle_a,OneHand_Axe,torso_center,20,24,body,铠甲与配饰配准,"x±0,y±0"
0,idle_a,OneHand_Axe,left_foot,15,45,boots,左鞋逐帧配准,"x±0,y±0"
0,idle_a,OneHand_Axe,right_foot,23,45,boots,右鞋逐帧配准,"x±0,y±0"
0,idle_a,TwoHand_GreatSword,back_hand,25,25,back_arm,副手或后手握点,"x±1,y±1"
0,idle_a,TwoHand_GreatSword,front_hand,28,27,front_arm,主手或前手握点,"x±1,y±1"
0,idle_a,TwoHand_GreatSword,head_center,20,11,head,头盔与头发配准,"x±0,y±0"
0,idle_a,TwoHand_GreatSword,torso_center,20,24,body,铠甲与配饰配准,"x±0,y±0"
0,idle_a,TwoHand_GreatSword,left_foot,15,45,boots,左鞋逐帧配准,"x±0,y±0"
0,idle_a,TwoHand_GreatSword,right_foot,23,45,boots,右鞋逐帧配准,"x±0,y±0"
0,idle_a,TwoHand_HeavyAxe,back_hand,24,15,back_arm,副手或后手握点,"x±1,y±1"
0,idle_a,TwoHand_HeavyAxe,front_hand,29,13,front_arm,主手或前手握点,"x±1,y±1"
0,idle_a,TwoHand_HeavyAxe,head_center,20,11,head,头盔与头发配准,"x±0,y±0"
0,idle_a,TwoHand_HeavyAxe,torso_center,20,24,body,铠甲与配饰配准,"x±0,y±0"
0,idle_a,TwoHand_HeavyAxe,left_foot,15,45,boots,左鞋逐帧配准,"x±0,y±0"
