base_name,base_slug,slot,grade,icon_path,sheet_path,icon_sha256,sheet_sha256,design_rule,status
短剑,short_sword,weapon,1,02_Simplified_Base_Icons_35/Weapons/short_sword_base_20x20.png,03_Simplified_Base_40x208_Layers_35/Weapons/short_sword_base_40x208.png,d7456aa4065ee2ec15cb713baa2262c70ac8e304cfd84c9b4adc3bef8037c572,204fd453c15a642f40b2862f29c89907c134b7e5bf844be3450e917efbbbddac,SIMPLIFIED_NEUTRAL_BODY_NO_ELEMENT_NO_RARITY,GENERATED_PENDING_QA
长剑,long_sword,weapon,2,02_Simplified_Base_Icons_35/Weapons/long_sword_base_20x20.png,03_Simplified_Base_40x208_Layers_35/Weapons/long_sword_base_40x208.png,7821e88e1043868ccd1c189fffed895b8cf04281fee8becbcd1fe8f126afe8dc,204fd453c15a642f40b2862f29c89907c134b7e5bf844be3450e917efbbbddac,SIMPLIFIED_NEUTRAL_BODY_NO_ELEMENT_NO_RARITY,GENERATED_PENDING_QA
刺剑,rapier,weapon,3,02_Simplified_Base_Icons_35/Weapons/rapier_base_20x20.png,03_Simplified_Base_40x208_Layers_35/Weapons/rapier_base_40x208.png,06b2c5724533255b5b0757061727d7ff17ae30a39a85e0bd7a7245e880c74491,5f3c0647ed9f85982c05c24daf7cc9c5bfef15a21c44a85362250d724a8ce2f7,SIMPLIFIED_NEUTRAL_BODY_NO_ELEMENT_NO_RARITY,GENERATED_PENDING_QA
巨剑,great_sword,weapon,5,02_Simplified_Base_Icons_35/Weapons/great_sword_base_20x20.png,03_Simplified_Base_40x208_Layers_35/Weapons/great_sword_base_40x208.png,7b2efe7053d69ce538ab32d9fb9f234193c6ddb1565ee29a61d4f57093746e14,cd65e6e0568f9c901e0d6ff18da1df3fdd4a5cbfcbe7162a3b44923054ee831b,SIMPLIFIED_NEUTRAL_BODY_NO_ELEMENT_NO_RARITY,GENERATED_PENDING_QA
手斧,hand_axe,weapon,1,02_Simplified_Base_Icons_35/Weapons/hand_axe_base_20x20.png,03_Simplified_Base_40x208_Layers_35/Weapons/hand_axe_base_40x208.png,c753105f4db74715a187496bba680df936ebbcd2bf714474f1e4425065cca864,f99d2d5ef0084b490e47d78cd4b60f9d1fa603dee170b880eb955537795ab8e8,SIMPLIFIED_NEUTRAL_BODY_NO_ELEMENT_NO_RARITY,GENERATED_PENDING_QA
战斧,battle_axe,weapon,3,02_Simplified_Base_Icons_35/Weapons/battle_axe_base_20x20.png,03_Simplified_Base_40x208_Layers_35/Weapons/battle_axe_base_40x208.png,cf86730778267279cda94b2230f8a13fd016dc1464faf9a0bc1a4f4bdfadf8c5,0594471baf39f412cd8bd0d82d1069cc0db35feb66db82e66343f73833bf8669,SIMPLIFIED_NEUTRAL_BODY_NO_ELEMENT_NO_RARITY,GENERATED_PENDING_QA
巨斧,great_axe,weapon,5,02_Simplified_Base_Icons_35/Weapons/great_axe_base_20x20.png,03_Simplified_Base_40x208_Layers_35/Weapons/great_axe_base_40x208.png,cc332841d8efd093fcfc9ab455b9a404d1091230edad497f952ad6c5e167e638,e835a747a989fc4954d876d2a5143d4b832a10e82b7cb1a1f223de68238a5ab1,SIMPLIFIED_NEUTRAL_BODY_NO_ELEMENT_NO_RARITY,GENERATED_PENDING_QA
猎弓,hunting_bow,weapon,1,02_Simplified_Base_Icons_35/Weapons/hunting_bow_base_20x20.png,03_Simplified_Base_40x208_Layers_35/Weapons/hunting_bow_base_40x208.png,9f81c6050ff9695a226268b86ffc270d2962000d2056256e9091342c3a368593,d4ca35c39d9dfda6c76ca53ae0208f7c27ec072dba4aeaa332789e119ee377cf,SIMPLIFIED_NEUTRAL_BODY_NO_ELEMENT_NO_RARITY,GENERATED_PENDING_QA
长弓,longbow,weapon,3,02_Simplified_Base_Icons_35/Weapons/longbow_base_20x20.png,03_Simplified_Base_40x208_Layers_35/Weapons/longbow_base_40x208.png,a86b4ac88503c9184f82964a24a25ff42ac83da7a9a88d3ee4fc35581fadd3e1,b206ba0e109d750963c04b16028020cbc8fae9ecd219d5e658c30225dffe4732,SIMPLIFIED_NEUTRAL_BODY_NO_ELEMENT_NO_RARITY,GENERATED_PENDING_QA
劲弩,heavy_crossbow,weapon,5,02_Simplified_Base_Icons_35/Weapons/heavy_crossbow_base_20x20.png,03_Simplified_Base_40x208_Layers_35/Weapons/heavy_crossbow_base_40x208.png,504f7addd9006959aaad59c36ba04e2900bc351c128610dc1a8ee95590f29cb0,70cea254c6835a1b0c09f6c6b90b9eafdb82eda03b6a90b3087542033f17b3e2,SIMPLIFIED_NEUTRAL_BODY_NO_ELEMENT_NO_RARITY,GENERATED_PENDING_QA
布甲,cloth_armor,armor,1,02_Simplified_Base_Icons_35/Armor/cloth_armor_base_20x20.png,03_Simplified_Base_40x208_Layers_35/Armor/cloth_armor_base_40x208.png,7d35597bb1a0264b2ce95d42e477bf373e372467cec67ba28800ffeb81b49b2b,5af38ebdb66efe0dff02ef6eb71e50a4876c6fd74da58a749608c8cae99fe13e,SIMPLIFIED_NEUTRAL_BODY_NO_ELEMENT_NO_RARITY,GENERATED_PENDING_QA
皮甲,leather_armor,armor,2,02_Simplified_Base_Icons_35/Armor/leather_armor_base_20x20.png,03_Simplified_Base_40x208_Layers_35/Armor/leather_armor_base_40x208.png,9534c935399929f79c32847f341f985f8233f2dd9579b8c26c7d05b2d9cfaefa,b70f798634ad6001d365517e115effe08ed5baaa470062cc6b8b4842ee6f9ac9,SIMPLIFIED_NEUTRAL_BODY_NO_ELEMENT_NO_RARITY,GENERATED_PENDING_QA
