catalog_id,base_slug,slot,element,particle_path,particle_sheet_path,pixel_count,connected_component_count,base_opaque_pixel_count,particle_to_base_ratio,overlap_with_key_structure,status,notes
metal_短剑,short_sword,weapon,metal,04_Element_Particle_Icons_175/Metal/metal_short_sword_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Metal/metal_short_sword_particles_40x208.png,4,1,55,0.072727,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
wood_短剑,short_sword,weapon,wood,04_Element_Particle_Icons_175/Wood/wood_short_sword_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Wood/wood_short_sword_particles_40x208.png,3,1,55,0.054545,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
water_短剑,short_sword,weapon,water,04_Element_Particle_Icons_175/Water/water_short_sword_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Water/water_short_sword_particles_40x208.png,4,1,55,0.072727,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
fire_短剑,short_sword,weapon,fire,04_Element_Particle_Icons_175/Fire/fire_short_sword_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Fire/fire_short_sword_particles_40x208.png,4,1,55,0.072727,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
earth_短剑,short_sword,weapon,earth,04_Element_Particle_Icons_175/Earth/earth_short_sword_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Earth/earth_short_sword_particles_40x208.png,4,2,55,0.072727,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
metal_长剑,long_sword,weapon,metal,04_Element_Particle_Icons_175/Metal/metal_long_sword_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Metal/metal_long_sword_particles_40x208.png,4,1,62,0.064516,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
wood_长剑,long_sword,weapon,wood,04_Element_Particle_Icons_175/Wood/wood_long_sword_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Wood/wood_long_sword_particles_40x208.png,3,1,62,0.048387,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
water_长剑,long_sword,weapon,water,04_Element_Particle_Icons_175/Water/water_long_sword_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Water/water_long_sword_particles_40x208.png,4,1,62,0.064516,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
fire_长剑,long_sword,weapon,fire,04_Element_Particle_Icons_175/Fire/fire_long_sword_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Fire/fire_long_sword_particles_40x208.png,4,1,62,0.064516,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
earth_长剑,long_sword,weapon,earth,04_Element_Particle_Icons_175/Earth/earth_long_sword_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Earth/earth_long_sword_particles_40x208.png,4,2,62,0.064516,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
