catalog_id,base_name,slot,key,grade,kind,base_slug,element,element_name,source_file,source_status
metal_短剑,短剑,weapon,sword,1,武器·剑,short_sword,metal,雷光,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
wood_短剑,短剑,weapon,sword,1,武器·剑,short_sword,wood,森林,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
water_短剑,短剑,weapon,sword,1,武器·剑,short_sword,water,寒冰,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
fire_短剑,短剑,weapon,sword,1,武器·剑,short_sword,fire,焰火,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
earth_短剑,短剑,weapon,sword,1,武器·剑,short_sword,earth,大地,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
metal_长剑,长剑,weapon,sword,2,武器·剑,long_sword,metal,雷光,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
wood_长剑,长剑,weapon,sword,2,武器·剑,long_sword,wood,森林,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
water_长剑,长剑,weapon,sword,2,武器·剑,long_sword,water,寒冰,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
fire_长剑,长剑,weapon,sword,2,武器·剑,long_sword,fire,焰火,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
earth_长剑,长剑,weapon,sword,2,武器·剑,long_sword,earth,大地,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
metal_刺剑,刺剑,weapon,sword,3,武器·剑,rapier,metal,雷光,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
wood_刺剑,刺剑,weapon,sword,3,武器·剑,rapier,wood,森林,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
water_刺剑,刺剑,weapon,sword,3,武器·剑,rapier,water,寒冰,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
fire_刺剑,刺剑,weapon,sword,3,武器·剑,rapier,fire,焰火,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
earth_刺剑,刺剑,weapon,sword,3,武器·剑,rapier,earth,大地,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
metal_巨剑,巨剑,weapon,sword,5,武器·剑,great_sword,metal,雷光,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
wood_巨剑,巨剑,weapon,sword,5,武器·剑,great_sword,wood,森林,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
water_巨剑,巨剑,weapon,sword,5,武器·剑,great_sword,water,寒冰,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
fire_巨剑,巨剑,weapon,sword,5,武器·剑,great_sword,fire,焰火,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
earth_巨剑,巨剑,weapon,sword,5,武器·剑,great_sword,earth,大地,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
metal_手斧,手斧,weapon,axe,1,武器·斧,hand_axe,metal,雷光,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
wood_手斧,手斧,weapon,axe,1,武器·斧,hand_axe,wood,森林,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
water_手斧,手斧,weapon,axe,1,武器·斧,hand_axe,water,寒冰,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
fire_手斧,手斧,weapon,axe,1,武器·斧,hand_axe,fire,焰火,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
earth_手斧,手斧,weapon,axe,1,武器·斧,hand_axe,earth,大地,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
metal_战斧,战斧,weapon,axe,3,武器·斧,battle_axe,metal,雷光,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
wood_战斧,战斧,weapon,axe,3,武器·斧,battle_axe,wood,森林,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
water_战斧,战斧,weapon,axe,3,武器·斧,battle_axe,water,寒冰,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
fire_战斧,战斧,weapon,axe,3,武器·斧,battle_axe,fire,焰火,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
earth_战斧,战斧,weapon,axe,3,武器·斧,battle_axe,earth,大地,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
metal_巨斧,巨斧,weapon,axe,5,武器·斧,great_axe,metal,雷光,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
wood_巨斧,巨斧,weapon,axe,5,武器·斧,great_axe,wood,森林,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
water_巨斧,巨斧,weapon,axe,5,武器·斧,great_axe,water,寒冰,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
fire_巨斧,巨斧,weapon,axe,5,武器·斧,great_axe,fire,焰火,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
earth_巨斧,巨斧,weapon,axe,5,武器·斧,great_axe,earth,大地,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
metal_猎弓,猎弓,weapon,bow,1,武器·弓,hunting_bow,metal,雷光,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
wood_猎弓,猎弓,weapon,bow,1,武器·弓,hunting_bow,wood,森林,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
water_猎弓,猎弓,weapon,bow,1,武器·弓,hunting_bow,water,寒冰,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
fire_猎弓,猎弓,weapon,bow,1,武器·弓,hunting_bow,fire,焰火,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
