record_type,asset_path_or_assertion,kind,width,height,mode,binary_alpha,sha256,status
ASSET,assets/equipment_visuals/icons/base/Helmets/battle_helmet_base_20x20.png,Helmets,20,20,RGBA,TRUE,872cdfe8f300e89c3bfcea7522994bf6ac09ed3605eccec09bcafecdbb2403b4,PASS
ASSET,assets/equipment_visuals/icons/base/Helmets/dragon_head_helmet_base_20x20.png,Helmets,20,20,RGBA,TRUE,792f5a1ecc139e6b025af6587f6b600f881efc0e17e402aa7e4d9ec3f56207fa,PASS
ASSET,assets/equipment_visuals/icons/base/Helmets/iron_helmet_base_20x20.png,Helmets,20,20,RGBA,TRUE,949cb868b79c04d1a595919b32ebc14731839abb191aa2a63ed019ee136cb503,PASS
ASSET,assets/equipment_visuals/icons/base/Helmets/knight_helmet_base_20x20.png,Helmets,20,20,RGBA,TRUE,7e48758afe313ead465150321cf89a558c15aac347662b1ba2347df0e60083e5,PASS
ASSET,assets/equipment_visuals/icons/base/Helmets/leather_cap_base_20x20.png,Helmets,20,20,RGBA,TRUE,1018d31ff5b0817f2ec5bacd3a30c09926b65cd15497bc6d40680665026c0071,PASS
ASSET,assets/equipment_visuals/icons/final/Earth/earth_battle_helmet_final_20x20.png,Earth,20,20,RGBA,TRUE,a7dbffccb899423e0ce2b96001496bd381cb8a5af0ead2de6f4e442e9bbf9ef4,PASS
ASSET,assets/equipment_visuals/icons/final/Earth/earth_dragon_head_helmet_final_20x20.png,Earth,20,20,RGBA,TRUE,63cb7dae585001d6031533c9d3061e443e5e5578ab0e3bf3a9def4b974dfa724,PASS
ASSET,assets/equipment_visuals/icons/final/Earth/earth_iron_helmet_final_20x20.png,Earth,20,20,RGBA,TRUE,c94ebdf49f71b84c00da079515d7f78e5853e2c2002b5b7e54f15828ec702344,PASS
ASSET,assets/equipment_visuals/icons/final/Earth/earth_knight_helmet_final_20x20.png,Earth,20,20,RGBA,TRUE,92392a0535cee2c0adfedd5f6b13e8942c432dbf489aef998b6d471a07620d3d,PASS
ASSET,assets/equipment_visuals/icons/final/Earth/earth_leather_cap_final_20x20.png,Earth,20,20,RGBA,TRUE,c0ef891c11a19cf9759b51dbae0ed5605473bbfc59e1c88618f06319b0223192,PASS
ASSET,assets/equipment_visuals/icons/final/Fire/fire_battle_helmet_final_20x20.png,Fire,20,20,RGBA,TRUE,feb1a14cf5ec0c54a955cfdb114c127160513cc6ff4baed4508cdd33091900cc,PASS
ASSET,assets/equipment_visuals/icons/final/Fire/fire_dragon_head_helmet_final_20x20.png,Fire,20,20,RGBA,TRUE,8e0f8a3714679c122851dbab468418c792b7ca51766964c83125b8e13edee318,PASS
ASSET,assets/equipment_visuals/icons/final/Fire/fire_iron_helmet_final_20x20.png,Fire,20,20,RGBA,TRUE,36f1c303acb12aa2f4a397f383bfefed07502c0649d9cf118897e9b75a37ecca,PASS
ASSET,assets/equipment_visuals/icons/final/Fire/fire_knight_helmet_final_20x20.png,Fire,20,20,RGBA,TRUE,0c97fc19661d9b2028b8f355eb7274c1ebd4ac7299dcd829a60e1bc47dacc90b,PASS
ASSET,assets/equipment_visuals/icons/final/Fire/fire_leather_cap_final_20x20.png,Fire,20,20,RGBA,TRUE,e1c8e2fb39255afa47ddfa244b290809ef779c07966d53f988c377f56659ff03,PASS
ASSET,assets/equipment_visuals/icons/final/Metal/metal_battle_helmet_final_20x20.png,Metal,20,20,RGBA,TRUE,df3edc4b5e22b070d61c1d605b7fc907b6707567b970c7ab617f74b70af3c786,PASS
ASSET,assets/equipment_visuals/icons/final/Metal/metal_dragon_head_helmet_final_20x20.png,Metal,20,20,RGBA,TRUE,caea0ec985374e2da8924be0f117d36788bb2c9c4310a8bf08fdd7b2826f0e35,PASS
ASSET,assets/equipment_visuals/icons/final/Metal/metal_iron_helmet_final_20x20.png,Metal,20,20,RGBA,TRUE,8e810351837173db12f4d78d4ff7bda6b8c36218f7eb99e8e405120b01d45a70,PASS
ASSET,assets/equipment_visuals/icons/final/Metal/metal_knight_helmet_final_20x20.png,Metal,20,20,RGBA,TRUE,efa363f4d13949c231a30583369887fdc2b869818e2b6f6fb617e27594f42950,PASS
ASSET,assets/equipment_visuals/icons/final/Metal/metal_leather_cap_final_20x20.png,Metal,20,20,RGBA,TRUE,f84c0891347802a8cca0ba07a5306edc921531b05dd7955a17775ea27e77a8c6,PASS
ASSET,assets/equipment_visuals/icons/final/Water/water_battle_helmet_final_20x20.png,Water,20,20,RGBA,TRUE,8d8bfa198cd85559d52d9b2b74c06368a41c933522c5328e246df13adf91068d,PASS
ASSET,assets/equipment_visuals/icons/final/Water/water_dragon_head_helmet_final_20x20.png,Water,20,20,RGBA,TRUE,09d2703cee13a6748754744f24047b6e562b3f71afbe4adf4012f506c8e45563,PASS
ASSET,assets/equipment_visuals/icons/final/Water/water_iron_helmet_final_20x20.png,Water,20,20,RGBA,TRUE,ac63bcf632db7ec97c99d470a761e9dcfe7b7db8f5e0eaf9b4823e846aacf56f,PASS
ASSET,assets/equipment_visuals/icons/final/Water/water_knight_helmet_final_20x20.png,Water,20,20,RGBA,TRUE,42da9362a808cd4a58347dc100c323b9d9fb21459b1a2fc2a95f5057220c9cfb,PASS
ASSET,assets/equipment_visuals/icons/final/Water/water_leather_cap_final_20x20.png,Water,20,20,RGBA,TRUE,7e91eec4346a0ad344147f0f8c0a3fac4922232e6af0c9e0a665711aa016be33,PASS
